Time frequency,Sex,Structure of earnings indicator,Age class,Size classes in number of employees,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting),Time,value,unit
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Belgium,2022,4930,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Bulgaria,2022,2141,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Czechia,2022,2779,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Denmark,2022,6495,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Germany,2022,5077,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Estonia,2022,3078,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Ireland,2022,7254,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Greece,2022,2011,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Spain,2022,2869,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,France,2022,4357,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Croatia,2022,2419,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Italy,2022,3168,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Cyprus,2022,3405,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Latvia,2022,2492,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Lithuania,2022,3315,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Luxembourg,2022,5943,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Hungary,2022,1998,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Malta,2022,2749,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Netherlands,2022,4657,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Austria,2022,4568,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Poland,2022,2537,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Portugal,2022,2234,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Romania,2022,2575,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Slovenia,2022,3023,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Slovakia,2022,2298,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Finland,2022,4824,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Sweden,2022,4895,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Norway,2022,6875,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Euro,Switzerland,2022,10198,EUR
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Belgium,2022,4405,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Bulgaria,2022,3552,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Czechia,2022,3445,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Denmark,2022,4874,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Germany,2022,4537,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Estonia,2022,3430,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Ireland,2022,6102,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Greece,2022,2452,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Spain,2022,3076,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),France,2022,4011,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Croatia,2022,3334,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Italy,2022,3301,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Cyprus,2022,3645,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Latvia,2022,3113,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Lithuania,2022,4406,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Luxembourg,2022,4551,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Hungary,2022,3092,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Malta,2022,3083,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Netherlands,2022,3979,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Austria,2022,4069,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Poland,2022,4128,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Portugal,2022,2649,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Romania,2022,4605,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Slovenia,2022,3563,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Slovakia,2022,2898,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Finland,2022,3891,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Sweden,2022,3861,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Norway,2022,4846,PPS
Annual,Total,Gross earnings,Total,10 employees or more,Information and communication,Purchasing power standard (PPS),Switzerland,2022,6481,PPS
